attack,severity,frame,clean_count,adv_count,asr,clean_score,adv_score,pert_mean,pert_max
noise,0.2,000000,24,30,-25.00,0.2497,0.2006,0.0000,0.0000
noise,0.2,000001,25,24,4.00,0.2755,0.2627,0.0000,0.0000
noise,0.2,000002,40,34,15.00,0.3292,0.2399,0.0000,0.0000
noise,0.2,000003,8,18,-125.00,0.5518,0.3236,0.0000,0.0000
noise,0.2,000004,20,15,25.00,0.2344,0.2202,0.0000,0.0000
noise,0.5,000000,24,27,-12.50,0.2497,0.1884,0.0000,0.0000
noise,0.5,000001,25,16,36.00,0.2755,0.2364,0.0000,0.0000
noise,0.5,000002,40,27,32.50,0.3292,0.1892,0.0000,0.0000
noise,0.5,000003,8,22,-175.00,0.5518,0.2111,0.0000,0.0000
noise,0.5,000004,20,16,20.00,0.2344,0.1625,0.0000,0.0000
noise,0.8,000000,24,16,33.33,0.2497,0.1597,0.0000,0.0000
noise,0.8,000001,25,19,24.00,0.2755,0.1871,0.0000,0.0000
noise,0.8,000002,40,18,55.00,0.3292,0.1623,0.0000,0.0000
noise,0.8,000003,8,18,-125.00,0.5518,0.1502,0.0000,0.0000
noise,0.8,000004,20,19,5.00,0.2344,0.1449,0.0000,0.0000
drop,0.2,000000,24,24,0.00,0.2497,0.2457,0.0000,0.0000
drop,0.2,000001,25,23,8.00,0.2755,0.2892,0.0000,0.0000
drop,0.2,000002,40,34,15.00,0.3292,0.3566,0.0000,0.0000
drop,0.2,000003,8,9,-12.50,0.5518,0.4786,0.0000,0.0000
drop,0.2,000004,20,17,15.00,0.2344,0.2525,0.0000,0.0000
drop,0.5,000000,24,24,0.00,0.2497,0.2368,0.0000,0.0000
drop,0.5,000001,25,19,24.00,0.2755,0.3073,0.0000,0.0000
drop,0.5,000002,40,26,35.00,0.3292,0.3563,0.0000,0.0000
drop,0.5,000003,8,8,0.00,0.5518,0.5842,0.0000,0.0000
drop,0.5,000004,20,14,30.00,0.2344,0.2809,0.0000,0.0000
drop,0.8,000000,24,15,37.50,0.2497,0.2005,0.0000,0.0000
drop,0.8,000001,25,15,40.00,0.2755,0.2819,0.0000,0.0000
drop,0.8,000002,40,22,45.00,0.3292,0.2915,0.0000,0.0000
drop,0.8,000003,8,7,12.50,0.5518,0.4810,0.0000,0.0000
drop,0.8,000004,20,9,55.00,0.2344,0.3397,0.0000,0.0000
spawn,0.2,000000,24,26,-8.33,0.2497,0.2565,0.0000,0.0000
spawn,0.2,000001,25,26,-4.00,0.2755,0.2707,0.0000,0.0000
spawn,0.2,000002,40,41,-2.50,0.3292,0.3250,0.0000,0.0000
spawn,0.2,000003,8,10,-25.00,0.5518,0.4929,0.0000,0.0000
spawn,0.2,000004,20,22,-10.00,0.2344,0.2304,0.0000,0.0000
spawn,0.5,000000,24,26,-8.33,0.2497,0.2407,0.0000,0.0000
spawn,0.5,000001,25,28,-12.00,0.2755,0.2744,0.0000,0.0000
spawn,0.5,000002,40,45,-12.50,0.3292,0.3216,0.0000,0.0000
spawn,0.5,000003,8,12,-50.00,0.5518,0.4549,0.0000,0.0000
spawn,0.5,000004,20,22,-10.00,0.2344,0.2493,0.0000,0.0000
spawn,0.8,000000,24,29,-20.83,0.2497,0.2552,0.0000,0.0000
spawn,0.8,000001,25,28,-12.00,0.2755,0.2702,0.0000,0.0000
