attack,severity,class,easy_ap,moderate_ap,hard_ap,metric
baseline,0,Car,87.75,78.40,75.19,AP_R40_3D
baseline,0,Pedestrian,57.20,51.43,46.87,AP_R40_3D
baseline,0,Cyclist,81.56,62.92,59.03,AP_R40_3D
noise,0.1,Car,83.45,69.85,66.63,AP_R40_3D
noise,0.1,Pedestrian,20.02,19.56,19.81,AP_R40_3D
noise,0.1,Cyclist,61.51,44.02,41.24,AP_R40_3D
noise,0.3,Car,8.09,6.90,6.18,AP_R40_3D
noise,0.3,Pedestrian,0.004,0.006,0.008,AP_R40_3D
noise,0.3,Cyclist,0.08,0.07,0.07,AP_R40_3D
noise,0.5,Car,0.04,0.00,0.00,AP_R40_3D
noise,0.5,Pedestrian,0.00,0.001,0.001,AP_R40_3D
noise,0.5,Cyclist,0.001,0.001,0.001,AP_R40_3D
drop,0.1,Car,87.06,76.36,73.26,AP_R40_3D
drop,0.1,Pedestrian,55.76,50.31,46.77,AP_R40_3D
drop,0.1,Cyclist,81.86,62.87,59.93,AP_R40_3D
drop,0.3,Car,86.94,75.62,72.09,AP_R40_3D
drop,0.3,Pedestrian,54.31,49.39,45.38,AP_R40_3D
drop,0.3,Cyclist,76.52,57.91,54.71,AP_R40_3D
drop,0.5,Car,83.97,70.04,66.42,AP_R40_3D
drop,0.5,Pedestrian,43.80,39.89,36.40,AP_R40_3D
drop,0.5,Cyclist,61.67,44.60,41.57,AP_R40_3D
geo_drop,0.1,Car,69.21,68.17,65.86,AP_R40_3D
geo_drop,0.1,Pedestrian,46.51,42.54,39.07,AP_R40_3D
geo_drop,0.1,Cyclist,60.92,50.42,47.90,AP_R40_3D
geo_drop,0.3,Car,36.69,47.71,45.42,AP_R40_3D
geo_drop,0.3,Pedestrian,25.78,24.63,22.72,AP_R40_3D
geo_drop,0.3,Cyclist,32.99,34.13,32.46,AP_R40_3D
geo_drop,0.5,Car,20.94,35.56,34.36,AP_R40_3D
geo_drop,0.5,Pedestrian,12.37,12.40,11.73,AP_R40_3D
geo_drop,0.5,Cyclist,19.73,25.67,24.69,AP_R40_3D
